                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.82551,                 3.6404,                 0.2196,                0.68214,                 1.1498,                 0.8795,                0.86364,                0.85833,                0.57798,                 0.7756,                0.77273,                0.82435,                0.31317,                 1.3461,                 3.5234,                0.05766,                 1.0196,                 1.6109,              0.0017228,              0.0017228,              0.0017228
                     23,                0.77328,                 3.8102,                0.24262,                0.63541,                 1.0983,                0.84794,                0.81818,                0.77322,                0.59724,                0.86024,                0.83988,                0.83809,                0.31693,                 1.2015,                 3.5088,                0.07201,                0.96805,                 1.5983,              0.0017096,              0.0017096,              0.0017096
                     24,                 0.8218,                 2.8632,                0.22963,                0.69085,                  1.159,                0.89961,                 0.8148,                0.81936,                0.62461,                0.86775,                      1,                0.97987,                0.53926,                   1.08,                 2.7402,                0.08098,                 1.1063,                 1.4389,              0.0016964,              0.0016964,              0.0016964
                     25,                0.76588,                   3.18,                 0.2184,                 0.6217,                 1.0905,                0.90464,                 0.8625,                0.87994,                0.65631,                0.91629,                0.99533,                0.98758,                0.51981,                 1.0517,                 2.8009,                0.08127,                0.95829,                 1.3579,              0.0016832,              0.0016832,              0.0016832
                     26,                0.84584,                 3.4671,                0.22005,                0.70043,                 1.1666,                0.86991,                  0.912,                0.94156,                 0.6961,                0.98089,                0.95455,                0.99167,                0.54074,                0.98152,                 2.7447,                0.07281,                0.77223,                 1.2667,                0.00167,                0.00167,                0.00167
                     27,                0.71744,                 2.9045,                0.24953,                0.58333,                 1.0686,                      1,                0.85073,                0.94122,                 0.7367,                0.91168,                0.93888,                 0.9498,                0.54955,                0.95144,                 2.7544,                0.07229,                0.82777,                 1.2572,              0.0016568,              0.0016568,              0.0016568
                     28,                0.69318,                 2.5592,                0.23117,                0.57179,                 1.1126,                0.96294,                0.81818,                0.92494,                0.61932,                0.88132,                0.90909,                0.97141,                0.48766,                 1.1308,                 2.6325,                0.05765,                 1.4502,                 1.2948,              0.0016436,              0.0016436,              0.0016436
                     29,                0.77219,                 3.0534,                 0.2179,                0.57276,                 1.0971,                0.86121,                0.86364,                0.88019,                0.56531,                0.83964,                0.95209,                0.93031,                0.47146,                 1.1334,                 2.4622,                0.05486,                 1.4715,                 1.2711,              0.0016304,              0.0016304,              0.0016304
                     30,                0.86414,                 3.3913,                0.23664,                0.67729,                 1.1843,                0.87741,                0.81818,                0.92798,                0.73858,                0.87741,                0.81818,                0.91112,                0.43134,                0.89309,                  2.554,                0.06184,                0.81137,                 1.1603,              0.0016172,              0.0016172,              0.0016172
                     31,                0.79192,                 3.1165,                0.22009,                0.63292,                 1.1126,                0.81309,                0.95455,                0.92975,                0.78745,                0.81309,                0.95455,                0.92718,                0.43725,                0.74525,                 2.6843,                0.06317,                0.69897,                 1.0436,               0.001604,               0.001604,               0.001604
                     32,                0.72552,                 3.0129,                0.20608,                0.55408,                  1.108,                 0.9938,                      1,                  0.995,                0.83205,                0.81243,                0.86364,                0.82716,                0.35989,                0.59767,                 2.7916,                0.07471,                0.63029,                0.96319,              0.0015908,              0.0015908,              0.0015908
