                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.76913,                 3.5764,                 0.3003,                0.61648,                 1.0655,                0.86037,                0.94186,                0.95475,                0.81784,                0.89237,                0.68605,                0.74901,                0.22921,                 0.6582,                 3.9753,                0.27213,                0.55005,                0.98981,              0.0017228,              0.0017228,              0.0017228
                     23,                0.76637,                 3.4625,                0.29352,                0.60105,                 1.0755,                0.87797,                0.93023,                0.95507,                0.81518,                0.85481,                0.68463,                0.75163,                0.21008,                0.68478,                 4.0124,                0.23217,                0.56304,                 1.0302,              0.0017096,              0.0017096,              0.0017096
                     24,                0.76266,                 3.5284,                 0.2957,                0.58879,                 1.0704,                0.90985,                 0.9186,                0.95474,                0.80723,                0.85489,                0.67442,                0.71355,                 0.2097,                0.61874,                 3.9488,                0.50559,                 0.6339,                0.98076,              0.0016964,              0.0016964,              0.0016964
                     25,                0.75707,                 3.6273,                0.28946,                0.61041,                  1.051,                 0.7493,                0.95349,                0.92134,                0.73908,                0.82034,                0.69026,                0.73148,                0.24379,                0.74146,                 3.9471,                0.27816,                0.67247,                 1.0049,              0.0016832,              0.0016832,              0.0016832
                     26,                0.73971,                 3.5345,                0.28613,                0.59239,                 1.0695,                0.81367,                0.96479,                0.95074,                0.81635,                0.86283,                0.69767,                0.75515,                0.23437,                0.61919,                 3.9622,                0.22058,                0.56877,                 0.9616,                0.00167,                0.00167,                0.00167
                     27,                0.68708,                 3.2506,                0.28586,                0.57453,                 1.0537,                 0.8684,                0.92082,                0.96949,                0.81102,                0.88774,                 0.6437,                0.71605,                0.22689,                0.66312,                  3.984,                0.34025,                0.53148,                 0.9797,              0.0016568,              0.0016568,              0.0016568
                     28,                0.68854,                  3.195,                 0.2822,                0.54685,                 1.0329,                0.80522,                0.96512,                0.95911,                0.80906,                0.84173,                0.63953,                0.70243,                0.23577,                0.67708,                 3.9141,                0.22036,                0.53726,                0.99553,              0.0016436,              0.0016436,              0.0016436
                     29,                0.71718,                 3.4343,                0.29279,                0.55545,                 1.0516,                0.84348,                0.84884,                0.94494,                0.81111,                0.86555,                 0.7093,                 0.7748,                0.24254,                0.60496,                 3.8029,                0.31384,                0.54532,                0.95839,              0.0016304,              0.0016304,              0.0016304
                     30,                 0.7077,                 3.3432,                0.27674,                0.53825,                 1.0547,                0.84279,                0.94186,                0.96503,                0.83482,                0.83325,                 0.7093,                0.73779,                0.23755,                0.60878,                  3.859,                0.40591,                0.51513,                0.95476,              0.0016172,              0.0016172,              0.0016172
                     31,                0.73427,                 3.3932,                0.28577,                0.57591,                 1.0568,                0.76187,                0.89289,                0.92634,                0.80152,                 0.7689,                0.66279,                0.71775,                0.21344,                0.65433,                 3.9142,                0.40513,                0.57653,                 0.9836,               0.001604,               0.001604,               0.001604
                     32,                0.68098,                 3.1627,                0.27471,                0.53651,                 1.0328,                  0.928,                0.90698,                0.97064,                0.84639,                0.77147,                0.75581,                0.70348,                0.18346,                0.58485,                 4.0272,                0.31217,                0.48378,                0.95041,              0.0015908,              0.0015908,              0.0015908
                     33,                0.65063,                 3.1509,                0.26768,                   0.52,                 1.0234,                0.92443,                0.87209,                0.97278,                0.85915,                0.81631,                0.68605,                0.71264,                 0.1956,                0.59145,                 3.9033,                0.36862,                 0.4875,                0.92461,              0.0015776,              0.0015776,              0.0015776
                     34,                0.66906,                 3.2161,                 0.2771,                0.53645,                 1.0115,                0.87608,                0.93023,                0.95629,                0.83786,                 0.8293,                0.63953,                0.69907,                0.21904,                0.57992,                 3.9604,                0.30428,                0.53198,                0.92349,              0.0015644,              0.0015644,              0.0015644
                     35,                0.66632,                  3.288,                0.29274,                0.53025,                 1.0222,                0.86124,                0.93825,                0.95258,                0.82633,                0.80072,                0.70084,                0.69963,                0.25528,                 0.5712,                 3.8963,                0.29702,                0.56633,                0.92444,              0.0015512,              0.0015512,              0.0015512
                     36,                0.64815,                 3.0849,                0.27226,                0.51603,                 1.0137,                0.88065,                0.94385,                0.96449,                0.85322,                0.77528,                 0.7093,                0.67568,                0.22681,                0.58303,                   3.91,                0.32893,                 0.5077,                0.93937,               0.001538,               0.001538,               0.001538
                     37,                0.65261,                 3.1875,                0.27526,                0.53053,                 1.0257,                0.85985,                0.92745,                0.96146,                0.83809,                0.89446,                0.68985,                0.80374,                0.27259,                0.57357,                 3.8117,                0.26869,                 0.4932,                0.93013,              0.0015248,              0.0015248,              0.0015248
                     38,                0.67832,                 3.1731,                0.26587,                0.53912,                 1.0198,                0.78987,                0.96163,                0.94103,                0.82457,                 0.8045,                0.62791,                0.70414,                0.25494,                0.61167,                 3.8235,                 0.3995,                 0.5449,                0.94145,              0.0015116,              0.0015116,              0.0015116
                     39,                0.69536,                  3.158,                0.27649,                0.54283,                 1.0571,                0.83563,                0.94585,                0.96213,                0.83043,                0.88923,                0.72093,                0.80136,                0.25319,                0.59302,                 3.7777,                0.21496,                 0.4985,                0.94286,              0.0014984,              0.0014984,              0.0014984
